"join_field","model_code","ref_label","ref_percent","bps_name","state_class_id","age_category","canopy_category","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"14120_39_40_41_42_43_50_51_Urban","14120_39_40_41_42_43_50_51","Urban",0,"North-Central Interior Sand and Gravel Tallgrass Prairie",NA,NA,NA,85,262,58,0,19,32
"14120_39_40_41_42_43_50_51_Water","14120_39_40_41_42_43_50_51","Water",0,"North-Central Interior Sand and Gravel Tallgrass Prairie",NA,NA,NA,NA,262,58,0,NA,NA
"14120_39_40_41_42_43_50_51_UN","14120_39_40_41_42_43_50_51","UN",0,"North-Central Interior Sand and Gravel Tallgrass Prairie",NA,NA,NA,174,262,58,0,39,66
"14120_39_40_41_42_43_50_51_UE","14120_39_40_41_42_43_50_51","UE",0,"North-Central Interior Sand and Gravel Tallgrass Prairie",NA,NA,NA,3,262,58,0,1,1
"14210_31_38_42_43_44_50_51_A","14210_31_38_42_43_44_50_51","A",40,"Central Tallgrass Prairie","Early1:OPN","Early1","OPN",1,215,48,19,0,0
"14210_31_38_42_43_44_50_51_B","14210_31_38_42_43_44_50_51","B",58,"Central Tallgrass Prairie","Mid1:OPN","Mid1","OPN",NA,215,48,28,NA,NA
"14210_31_38_42_43_44_50_51_C","14210_31_38_42_43_44_50_51","C",2,"Central Tallgrass Prairie","Late1:ALL","Late1","ALL",NA,215,48,1,NA,NA
"14210_31_38_42_43_44_50_51_D","14210_31_38_42_43_44_50_51","D",NA,"Central Tallgrass Prairie",NA,NA,NA,NA,215,48,NA,NA,NA
"14210_31_38_42_43_44_50_51_E","14210_31_38_42_43_44_50_51","E",NA,"Central Tallgrass Prairie",NA,NA,NA,NA,215,48,NA,NA,NA
"14210_31_38_42_43_44_50_51_Agriculture","14210_31_38_42_43_44_50_51","Agriculture",0,"Central Tallgrass Prairie",NA,NA,NA,2,215,48,0,0,1
"14210_31_38_42_43_44_50_51_Urban","14210_31_38_42_43_44_50_51","Urban",0,"Central Tallgrass Prairie",NA,NA,NA,38,215,48,0,8,18
"14210_31_38_42_43_44_50_51_Water","14210_31_38_42_43_44_50_51","Water",0,"Central Tallgrass Prairie",NA,NA,NA,NA,215,48,0,NA,NA
"14210_31_38_42_43_44_50_51_UN","14210_31_38_42_43_44_50_51","UN",0,"Central Tallgrass Prairie",NA,NA,NA,173,215,48,0,38,80
"14210_31_38_42_43_44_50_51_UE","14210_31_38_42_43_44_50_51","UE",0,"Central Tallgrass Prairie",NA,NA,NA,1,215,48,0,0,0
"14440_41_50_51_A","14440_41_50_51","A",15,"Eastern Boreal Floodplain","Early1:ALL","Early1","ALL",128,146201,32514,4877,28,0
"14440_41_50_51_B","14440_41_50_51","B",35,"Eastern Boreal Floodplain","Mid1:OPN","Mid1","OPN",681,146201,32514,11380,151,0
"14440_41_50_51_C","14440_41_50_51","C",37,"Eastern Boreal Floodplain","Mid1:CLS","Mid1","CLS",91179,146201,32514,12030,20278,62
"14440_41_50_51_D","14440_41_50_51","D",13,"Eastern Boreal Floodplain","Late1:CLS","Late1","CLS",440,146201,32514,4227,98,0
"14440_41_50_51_E","14440_41_50_51","E",NA,"Eastern Boreal Floodplain",NA,NA,NA,NA,146201,32514,NA,NA,NA
"14440_41_50_51_Agriculture","14440_41_50_51","Agriculture",0,"Eastern Boreal Floodplain",NA,NA,NA,2766,146201,32514,0,615,2
"14440_41_50_51_Urban","14440_41_50_51","Urban",0,"Eastern Boreal Floodplain",NA,NA,NA,1961,146201,32514,0,436,1
"14440_41_50_51_Water","14440_41_50_51","Water",0,"Eastern Boreal Floodplain",NA,NA,NA,NA,146201,32514,0,NA,NA
"14440_41_50_51_UN","14440_41_50_51","UN",0,"Eastern Boreal Floodplain",NA,NA,NA,47926,146201,32514,0,10658,33
"14440_41_50_51_UE","14440_41_50_51","UE",0,"Eastern Boreal Floodplain",NA,NA,NA,1120,146201,32514,0,249,1
"14660_50_51_A","14660_50_51","A",23,"Great Lakes Wooded Dune and Swale","Early1:OPN","Early1","OPN",56,9008,2003,461,12,1
"14660_50_51_B","14660_50_51","B",23,"Great Lakes Wooded Dune and Swale","Early2:OPN","Early2","OPN",11,9008,2003,461,2,0
"14660_50_51_C","14660_50_51","C",27,"Great Lakes Wooded Dune and Swale","Late1:CLS","Late1","CLS",8338,9008,2003,541,1854,93
"14660_50_51_D","14660_50_51","D",27,"Great Lakes Wooded Dune and Swale","Late2:CLS","Late2","CLS",72,9008,2003,541,16,1
"14660_50_51_E","14660_50_51","E",NA,"Great Lakes Wooded Dune and Swale",NA,NA,NA,NA,9008,2003,NA,NA,NA
"14660_50_51_Agriculture","14660_50_51","Agriculture",0,"Great Lakes Wooded Dune and Swale",NA,NA,NA,29,9008,2003,0,6,0
"14660_50_51_Urban","14660_50_51","Urban",0,"Great Lakes Wooded Dune and Swale",NA,NA,NA,464,9008,2003,0,103,5
"14660_50_51_Water","14660_50_51","Water",0,"Great Lakes Wooded Dune and Swale",NA,NA,NA,NA,9008,2003,0,NA,NA
"14660_50_51_UN","14660_50_51","UN",0,"Great Lakes Wooded Dune and Swale",NA,NA,NA,NA,9008,2003,0,NA,NA
"14660_50_51_UE","14660_50_51","UE",0,"Great Lakes Wooded Dune and Swale",NA,NA,NA,38,9008,2003,0,8,0
"14750_41_50_51_63_64_65_66_A","14750_41_50_51_63_64_65_66","A",16,"Laurentian-Acadian Floodplain Systems","Early1:ALL","Early1","ALL",1,115919,25780,4125,0,0
"14750_41_50_51_63_64_65_66_B","14750_41_50_51_63_64_65_66","B",23,"Laurentian-Acadian Floodplain Systems","Mid1:OPN","Mid1","OPN",1646,115919,25780,5929,366,1
"14750_41_50_51_63_64_65_66_C","14750_41_50_51_63_64_65_66","C",44,"Laurentian-Acadian Floodplain Systems","Mid1:CLS","Mid1","CLS",55714,115919,25780,11343,12390,48
"14750_41_50_51_63_64_65_66_D","14750_41_50_51_63_64_65_66","D",17,"Laurentian-Acadian Floodplain Systems","Late1:CLS","Late1","CLS",NA,115919,25780,4383,NA,NA
"14750_41_50_51_63_64_65_66_E","14750_41_50_51_63_64_65_66","E",NA,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,NA,115919,25780,NA,NA,NA
"14750_41_50_51_63_64_65_66_Agriculture","14750_41_50_51_63_64_65_66","Agriculture",0,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,1078,115919,25780,0,240,1
"14750_41_50_51_63_64_65_66_Urban","14750_41_50_51_63_64_65_66","Urban",0,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,2799,115919,25780,0,622,2
"14750_41_50_51_63_64_65_66_Water","14750_41_50_51_63_64_65_66","Water",0,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,NA,115919,25780,0,NA,NA
"14750_41_50_51_63_64_65_66_UN","14750_41_50_51_63_64_65_66","UN",0,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,52581,115919,25780,0,11694,45
"14750_41_50_51_63_64_65_66_UE","14750_41_50_51_63_64_65_66","UE",0,"Laurentian-Acadian Floodplain Systems",NA,NA,NA,2100,115919,25780,0,467,2
"14770_40_41_50_51_A","14770_40_41_50_51","A",14,"Boreal Acidic Peatland Systems","Early1:ALL","Early1","ALL",110598,3337613,742267,103917,24596,3
"14770_40_41_50_51_B","14770_40_41_50_51","B",16,"Boreal Acidic Peatland Systems","Mid1:OPN","Mid1","OPN",126770,3337613,742267,118763,28193,4
"14770_40_41_50_51_C","14770_40_41_50_51","C",38,"Boreal Acidic Peatland Systems","Late1:CLS","Late1","CLS",839831,3337613,742267,282061,186774,25
"14770_40_41_50_51_D","14770_40_41_50_51","D",23,"Boreal Acidic Peatland Systems","Late2:ALL","Late2","ALL",2122195,3337613,742267,170721,471964,64
"14770_40_41_50_51_E","14770_40_41_50_51","E",9,"Boreal Acidic Peatland Systems","Late3:OPN","Late3","OPN",2597,3337613,742267,66804,578,0
"14770_40_41_50_51_Agriculture","14770_40_41_50_51","Agriculture",0,"Boreal Acidic Peatland Systems",NA,NA,NA,9100,3337613,742267,0,2024,0
"14770_40_41_50_51_Urban","14770_40_41_50_51","Urban",0,"Boreal Acidic Peatland Systems",NA,NA,NA,34288,3337613,742267,0,7625,1
"14770_40_41_50_51_Water","14770_40_41_50_51","Water",0,"Boreal Acidic Peatland Systems",NA,NA,NA,NA,3337613,742267,0,NA,NA
"14770_40_41_50_51_UN","14770_40_41_50_51","UN",0,"Boreal Acidic Peatland Systems",NA,NA,NA,65097,3337613,742267,0,14477,2
"14770_40_41_50_51_UE","14770_40_41_50_51","UE",0,"Boreal Acidic Peatland Systems",NA,NA,NA,27137,3337613,742267,0,6035,1
"14810_41_50_51_63_A","14810_41_50_51_63","A",14,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Early1:ALL","Early1","ALL",275026,6151561,1368073,191530,61164,4
"14810_41_50_51_63_B","14810_41_50_51_63","B",11,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Early2:CLS","Early2","CLS",231690,6151561,1368073,150488,51527,4
"14810_41_50_51_63_C","14810_41_50_51_63","C",21,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Mid1:CLS","Mid1","CLS",1095594,6151561,1368073,287295,243654,18
"14810_41_50_51_63_D","14810_41_50_51_63","D",54,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Late1:CLS","Late1","CLS",4378451,6151561,1368073,738760,973743,71
"14810_41_50_51_63_E","14810_41_50_51_63","E",NA,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",NA,NA,NA,NA,6151561,1368073,NA,NA,NA
"14810_41_50_51_63_Agriculture","14810_41_50_51_63","Agriculture",0,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",NA,NA,NA,50851,6151561,1368073,0,11309,1
"14810_41_50_51_63_Urban","14810_41_50_51_63","Urban",0,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",NA,NA,NA,71031,6151561,1368073,0,15797,1
"14810_41_50_51_63_Water","14810_41_50_51_63","Water",0,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",NA,NA,NA,NA,6151561,1368073,0,NA,NA
"14810_41_50_51_63_UN","14810_41_50_51_63","UN",0,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",NA,NA,NA,NA,6151561,1368073,0,NA,NA
"14810_41_50_51_63_UE","14810_41_50_51_63","UE",0,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",NA,NA,NA,48918,6151561,1368073,0,10879,1
"14920_41_50_51_52_63_A","14920_41_50_51_52_63","A",22,"Great Lakes Coastal Marsh Systems","Early1:ALL","Early1","ALL",4,100331,22313,4909,1,0
"14920_41_50_51_52_63_B","14920_41_50_51_52_63","B",22,"Great Lakes Coastal Marsh Systems","Early2:ALL","Early2","ALL",1942,100331,22313,4909,432,2
"14920_41_50_51_52_63_C","14920_41_50_51_52_63","C",56,"Great Lakes Coastal Marsh Systems","Mid1:CLS","Mid1","CLS",322,100331,22313,12495,72,0
"14920_41_50_51_52_63_D","14920_41_50_51_52_63","D",NA,"Great Lakes Coastal Marsh Systems",NA,NA,NA,NA,100331,22313,NA,NA,NA
"14920_41_50_51_52_63_E","14920_41_50_51_52_63","E",NA,"Great Lakes Coastal Marsh Systems",NA,NA,NA,NA,100331,22313,NA,NA,NA
"14920_41_50_51_52_63_Agriculture","14920_41_50_51_52_63","Agriculture",0,"Great Lakes Coastal Marsh Systems",NA,NA,NA,623,100331,22313,0,139,1
"14920_41_50_51_52_63_Urban","14920_41_50_51_52_63","Urban",0,"Great Lakes Coastal Marsh Systems",NA,NA,NA,22966,100331,22313,0,5108,23
"14920_41_50_51_52_63_Water","14920_41_50_51_52_63","Water",0,"Great Lakes Coastal Marsh Systems",NA,NA,NA,NA,100331,22313,0,NA,NA
"14920_41_50_51_52_63_UN","14920_41_50_51_52_63","UN",0,"Great Lakes Coastal Marsh Systems",NA,NA,NA,53410,100331,22313,0,11878,53
"14920_41_50_51_52_63_UE","14920_41_50_51_52_63","UE",0,"Great Lakes Coastal Marsh Systems",NA,NA,NA,21064,100331,22313,0,4685,21
"14940_41_50_51_A","14940_41_50_51","A",8,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Early1:OPN","Early1","OPN",12,16971,3774,302,3,0
"14940_41_50_51_B","14940_41_50_51","B",56,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Late1:OPN","Late1","OPN",122,16971,3774,2114,27,1
"14940_41_50_51_C","14940_41_50_51","C",31,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Late2:CLS","Late2","CLS",7,16971,3774,1170,2,0
"14940_41_50_51_D","14940_41_50_51","D",5,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Late3:CLS","Late3","CLS",11146,16971,3774,189,2479,66
"14940_41_50_51_E","14940_41_50_51","E",NA,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,NA,16971,3774,NA,NA,NA
"14940_41_50_51_Agriculture","14940_41_50_51","Agriculture",0,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,205,16971,3774,0,46,1
"14940_41_50_51_Urban","14940_41_50_51","Urban",0,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,385,16971,3774,0,86,2
"14940_41_50_51_Water","14940_41_50_51","Water",0,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,NA,16971,3774,0,NA,NA
"14940_41_50_51_UN","14940_41_50_51","UN",0,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,4810,16971,3774,0,1070,28
"14940_41_50_51_UE","14940_41_50_51","UE",0,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,284,16971,3774,0,63,2
"NA_Barren or Sparse",NA,NA,NA,NA,NA,NA,NA,6750,626401,139308,NA,1501,1
"NA_Water",NA,NA,NA,NA,NA,NA,NA,619651,626401,139308,NA,137807,99
