"join_field","model_code","ref_label","ref_percent","scls_label","state_class_id","age_category","canopy_category","bps_model","bps_name","label","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"14120_39_40_41_42_43_50_51_Urban","14120_39_40_41_42_43_50_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14120_39_40_41_42_43_50_51_Water","14120_39_40_41_42_43_50_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14120_39_40_41_42_43_50_51_UN","14120_39_40_41_42_43_50_51","UN",0,NA,NA,NA,NA,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","UN",174,262,58,0,39,66
"14120_39_40_41_42_43_50_51_UE","14120_39_40_41_42_43_50_51","UE",0,NA,NA,NA,NA,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","UE",3,262,58,0,1,1
"14210_31_38_42_43_44_50_51_A","14210_31_38_42_43_44_50_51","A",40,"A","Early1:OPN","Early1","OPN","14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","A",1,215,48,19,0,0
"14210_31_38_42_43_44_50_51_B","14210_31_38_42_43_44_50_51","B",58,"B","Mid1:OPN","Mid1","OPN",NA,NA,NA,NA,0,0,0,NA,NA
"14210_31_38_42_43_44_50_51_C","14210_31_38_42_43_44_50_51","C",2,"C","Late1:ALL","Late1","ALL",NA,NA,NA,NA,0,0,0,NA,NA
"14210_31_38_42_43_44_50_51_D","14210_31_38_42_43_44_50_51","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14210_31_38_42_43_44_50_51_E","14210_31_38_42_43_44_50_51","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14210_31_38_42_43_44_50_51_Agriculture","14210_31_38_42_43_44_50_51","Agriculture",0,NA,NA,NA,NA,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Agriculture",2,215,48,0,0,1
"14210_31_38_42_43_44_50_51_Urban","14210_31_38_42_43_44_50_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14210_31_38_42_43_44_50_51_Water","14210_31_38_42_43_44_50_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14210_31_38_42_43_44_50_51_UN","14210_31_38_42_43_44_50_51","UN",0,NA,NA,NA,NA,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","UN",173,215,48,0,38,80
"14210_31_38_42_43_44_50_51_UE","14210_31_38_42_43_44_50_51","UE",0,NA,NA,NA,NA,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","UE",1,215,48,0,0,0
"14440_41_50_51_A","14440_41_50_51","A",15,"A","Early1:ALL","Early1","ALL","14440_41_50_51","Eastern Boreal Floodplain","A",128,145830,32432,4865,28,0
"14440_41_50_51_B","14440_41_50_51","B",35,"B","Mid1:OPN","Mid1","OPN","14440_41_50_51","Eastern Boreal Floodplain","B",678,145830,32432,11351,151,0
"14440_41_50_51_C","14440_41_50_51","C",37,"C","Mid1:CLS","Mid1","CLS","14440_41_50_51","Eastern Boreal Floodplain","C",90959,145830,32432,12000,20229,62
"14440_41_50_51_D","14440_41_50_51","D",13,"D","Late1:CLS","Late1","CLS","14440_41_50_51","Eastern Boreal Floodplain","D",406,145830,32432,4216,90,0
"14440_41_50_51_E","14440_41_50_51","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14440_41_50_51_Agriculture","14440_41_50_51","Agriculture",0,NA,NA,NA,NA,"14440_41_50_51","Eastern Boreal Floodplain","Agriculture",2765,145830,32432,0,615,2
"14440_41_50_51_Urban","14440_41_50_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14440_41_50_51_Water","14440_41_50_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14440_41_50_51_UN","14440_41_50_51","UN",0,NA,NA,NA,NA,"14440_41_50_51","Eastern Boreal Floodplain","UN",47864,145830,32432,0,10645,33
"14440_41_50_51_UE","14440_41_50_51","UE",0,NA,NA,NA,NA,"14440_41_50_51","Eastern Boreal Floodplain","UE",1099,145830,32432,0,244,1
"14660_50_51_A","14660_50_51","A",23,"A","Early1:OPN","Early1","OPN","14660_50_51","Great Lakes Wooded Dune and Swale","A",56,9008,2003,461,12,1
"14660_50_51_B","14660_50_51","B",23,"B","Early2:OPN","Early2","OPN","14660_50_51","Great Lakes Wooded Dune and Swale","B",11,9008,2003,461,2,0
"14660_50_51_C","14660_50_51","C",27,"C","Late1:CLS","Late1","CLS","14660_50_51","Great Lakes Wooded Dune and Swale","C",8338,9008,2003,541,1854,93
"14660_50_51_D","14660_50_51","D",27,"D","Late2:CLS","Late2","CLS","14660_50_51","Great Lakes Wooded Dune and Swale","D",72,9008,2003,541,16,1
"14660_50_51_E","14660_50_51","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14660_50_51_Agriculture","14660_50_51","Agriculture",0,NA,NA,NA,NA,"14660_50_51","Great Lakes Wooded Dune and Swale","Agriculture",29,9008,2003,0,6,0
"14660_50_51_Urban","14660_50_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14660_50_51_Water","14660_50_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14660_50_51_UN","14660_50_51","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14660_50_51_UE","14660_50_51","UE",0,NA,NA,NA,NA,"14660_50_51","Great Lakes Wooded Dune and Swale","UE",38,9008,2003,0,8,0
"14750_41_50_51_63_64_65_66_A","14750_41_50_51_63_64_65_66","A",16,"A","Early1:ALL","Early1","ALL","14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","A",1,115902,25776,4124,0,0
"14750_41_50_51_63_64_65_66_B","14750_41_50_51_63_64_65_66","B",23,"B","Mid1:OPN","Mid1","OPN","14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","B",1646,115902,25776,5928,366,1
"14750_41_50_51_63_64_65_66_C","14750_41_50_51_63_64_65_66","C",44,"C","Mid1:CLS","Mid1","CLS","14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","C",55703,115902,25776,11341,12388,48
"14750_41_50_51_63_64_65_66_D","14750_41_50_51_63_64_65_66","D",17,"D","Late1:CLS","Late1","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"14750_41_50_51_63_64_65_66_E","14750_41_50_51_63_64_65_66","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14750_41_50_51_63_64_65_66_Agriculture","14750_41_50_51_63_64_65_66","Agriculture",0,NA,NA,NA,NA,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Agriculture",1078,115902,25776,0,240,1
"14750_41_50_51_63_64_65_66_Urban","14750_41_50_51_63_64_65_66","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14750_41_50_51_63_64_65_66_Water","14750_41_50_51_63_64_65_66","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14750_41_50_51_63_64_65_66_UN","14750_41_50_51_63_64_65_66","UN",0,NA,NA,NA,NA,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","UN",52576,115902,25776,0,11693,45
"14750_41_50_51_63_64_65_66_UE","14750_41_50_51_63_64_65_66","UE",0,NA,NA,NA,NA,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","UE",2099,115902,25776,0,467,2
"14770_40_41_50_51_A","14770_40_41_50_51","A",14,"A","Early1:ALL","Early1","ALL","14770_40_41_50_51","Boreal Acidic Peatland Systems","A",110592,3337033,742138,103899,24595,3
"14770_40_41_50_51_B","14770_40_41_50_51","B",16,"B","Mid1:OPN","Mid1","OPN","14770_40_41_50_51","Boreal Acidic Peatland Systems","B",126757,3337033,742138,118742,28190,4
"14770_40_41_50_51_C","14770_40_41_50_51","C",38,"C","Late1:CLS","Late1","CLS","14770_40_41_50_51","Boreal Acidic Peatland Systems","C",839705,3337033,742138,282012,186746,25
"14770_40_41_50_51_D","14770_40_41_50_51","D",23,"D","Late2:ALL","Late2","ALL","14770_40_41_50_51","Boreal Acidic Peatland Systems","D",2121861,3337033,742138,170692,471890,64
"14770_40_41_50_51_E","14770_40_41_50_51","E",9,"E","Late3:OPN","Late3","OPN","14770_40_41_50_51","Boreal Acidic Peatland Systems","E",2597,3337033,742138,66792,578,0
"14770_40_41_50_51_Agriculture","14770_40_41_50_51","Agriculture",0,NA,NA,NA,NA,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Agriculture",9095,3337033,742138,0,2023,0
"14770_40_41_50_51_Urban","14770_40_41_50_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14770_40_41_50_51_Water","14770_40_41_50_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14770_40_41_50_51_UN","14770_40_41_50_51","UN",0,NA,NA,NA,NA,"14770_40_41_50_51","Boreal Acidic Peatland Systems","UN",65090,3337033,742138,0,14476,2
"14770_40_41_50_51_UE","14770_40_41_50_51","UE",0,NA,NA,NA,NA,"14770_40_41_50_51","Boreal Acidic Peatland Systems","UE",27109,3337033,742138,0,6029,1
"14810_41_50_51_63_A","14810_41_50_51_63","A",14,"A","Early1:ALL","Early1","ALL","14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","A",274866,6147698,1367214,191410,61129,4
"14810_41_50_51_63_B","14810_41_50_51_63","B",11,"B","Early2:CLS","Early2","CLS","14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","B",231620,6147698,1367214,150394,51511,4
"14810_41_50_51_63_C","14810_41_50_51_63","C",21,"C","Mid1:CLS","Mid1","CLS","14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","C",1094811,6147698,1367214,287115,243480,18
"14810_41_50_51_63_D","14810_41_50_51_63","D",54,"D","Late1:CLS","Late1","CLS","14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","D",4376358,6147698,1367214,738296,973278,71
"14810_41_50_51_63_E","14810_41_50_51_63","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14810_41_50_51_63_Agriculture","14810_41_50_51_63","Agriculture",0,NA,NA,NA,NA,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Agriculture",50818,6147698,1367214,0,11302,1
"14810_41_50_51_63_Urban","14810_41_50_51_63","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14810_41_50_51_63_Water","14810_41_50_51_63","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14810_41_50_51_63_UN","14810_41_50_51_63","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14810_41_50_51_63_UE","14810_41_50_51_63","UE",0,NA,NA,NA,NA,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","UE",48599,6147698,1367214,0,10808,1
"14920_41_50_51_52_63_A","14920_41_50_51_52_63","A",22,"A","Early1:ALL","Early1","ALL","14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","A",4,100251,22295,4905,1,0
"14920_41_50_51_52_63_B","14920_41_50_51_52_63","B",22,"B","Early2:ALL","Early2","ALL","14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","B",1925,100251,22295,4905,428,2
"14920_41_50_51_52_63_C","14920_41_50_51_52_63","C",56,"C","Mid1:CLS","Mid1","CLS","14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","C",322,100251,22295,12485,72,0
"14920_41_50_51_52_63_D","14920_41_50_51_52_63","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14920_41_50_51_52_63_E","14920_41_50_51_52_63","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14920_41_50_51_52_63_Agriculture","14920_41_50_51_52_63","Agriculture",0,NA,NA,NA,NA,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Agriculture",622,100251,22295,0,138,1
"14920_41_50_51_52_63_Urban","14920_41_50_51_52_63","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14920_41_50_51_52_63_Water","14920_41_50_51_52_63","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14920_41_50_51_52_63_UN","14920_41_50_51_52_63","UN",0,NA,NA,NA,NA,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","UN",53382,100251,22295,0,11872,53
"14920_41_50_51_52_63_UE","14920_41_50_51_52_63","UE",0,NA,NA,NA,NA,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","UE",21042,100251,22295,0,4680,21
"14940_41_50_51_A","14940_41_50_51","A",8,"A","Early1:OPN","Early1","OPN","14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","A",12,16971,3774,302,3,0
"14940_41_50_51_B","14940_41_50_51","B",56,"B","Late1:OPN","Late1","OPN","14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","B",122,16971,3774,2114,27,1
"14940_41_50_51_C","14940_41_50_51","C",31,"C","Late2:CLS","Late2","CLS","14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","C",7,16971,3774,1170,2,0
"14940_41_50_51_D","14940_41_50_51","D",5,"D","Late3:CLS","Late3","CLS","14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","D",11146,16971,3774,189,2479,66
"14940_41_50_51_E","14940_41_50_51","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14940_41_50_51_Agriculture","14940_41_50_51","Agriculture",0,NA,NA,NA,NA,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Agriculture",205,16971,3774,0,46,1
"14940_41_50_51_Urban","14940_41_50_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14940_41_50_51_Water","14940_41_50_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14940_41_50_51_UN","14940_41_50_51","UN",0,NA,NA,NA,NA,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","UN",4810,16971,3774,0,1070,28
"14940_41_50_51_UE","14940_41_50_51","UE",0,NA,NA,NA,NA,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","UE",284,16971,3774,0,63,2
"13022_41_50_51_Developed",NA,NA,NA,NA,NA,NA,NA,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Developed",495995,7455674,1658101,NA,110307,7
"13023_51_Developed",NA,NA,NA,NA,NA,NA,NA,"13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","Developed",8623,195553,43490,NA,1918,4
"13100_44_50_Developed",NA,NA,NA,NA,NA,NA,NA,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Developed",404,619,138,NA,90,65
"13110_50_Developed",NA,NA,NA,NA,NA,NA,NA,"13110_50","North-Central Interior Dry Oak Forest and Woodland","Developed",8,23,5,NA,2,35
"13441_51_Developed",NA,NA,NA,NA,NA,NA,NA,"13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","Developed",122680,980565,218072,NA,27283,13
"13442_51_Developed",NA,NA,NA,NA,NA,NA,NA,"13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","Developed",10162,109876,24436,NA,2260,9
"13620_51_63_64_65_66_Developed",NA,NA,NA,NA,NA,NA,NA,"13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","Developed",90840,697985,155228,NA,20202,13
"13622_41_50_Developed",NA,NA,NA,NA,NA,NA,NA,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Developed",46517,425471,94622,NA,10345,11
"13651_40_41_50_Developed",NA,NA,NA,NA,NA,NA,NA,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Developed",677,1912451,425319,NA,151,0
"13651_51_Developed",NA,NA,NA,NA,NA,NA,NA,"13651_51","Boreal White Spruce-Fir-Hardwood Forest-Inland","Developed",146448,1912451,425319,NA,32569,8
"13652_51_Developed",NA,NA,NA,NA,NA,NA,NA,"13652_51","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Developed",61788,659115,146584,NA,13741,9
"13660_50_Developed",NA,NA,NA,NA,NA,NA,NA,"13660_50","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Developed",5281,1982196,440829,NA,1174,0
"13660_51_63_64_65_66_Developed",NA,NA,NA,NA,NA,NA,NA,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Developed",154100,1982196,440829,NA,34271,8
"13940_50_51_Developed",NA,NA,NA,NA,NA,NA,NA,"13940_50_51","North-Central Interior Oak Savanna","Developed",31,31,7,NA,7,100
"14071_41_50_51_Developed",NA,NA,NA,NA,NA,NA,NA,"14071_41_50_51","Laurentian Pine-Oak Barrens","Developed",20428,183645,40842,NA,4543,11
"14072_41_50_51_Developed",NA,NA,NA,NA,NA,NA,NA,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Developed",25394,208349,46336,NA,5647,12
"14120_39_40_41_42_43_50_51_Developed",NA,NA,NA,NA,NA,NA,NA,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Developed",85,262,58,NA,19,32
"14210_31_38_42_43_44_50_51_Developed",NA,NA,NA,NA,NA,NA,NA,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Developed",38,215,48,NA,8,18
"14440_41_50_51_Developed",NA,NA,NA,NA,NA,NA,NA,"14440_41_50_51","Eastern Boreal Floodplain","Developed",1931,145830,32432,NA,429,1
"14660_50_51_Developed",NA,NA,NA,NA,NA,NA,NA,"14660_50_51","Great Lakes Wooded Dune and Swale","Developed",464,9008,2003,NA,103,5
"14750_41_50_51_63_64_65_66_Developed",NA,NA,NA,NA,NA,NA,NA,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Developed",2799,115902,25776,NA,622,2
"14770_40_41_50_51_Developed",NA,NA,NA,NA,NA,NA,NA,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Developed",34227,3337033,742138,NA,7612,1
"14810_41_50_51_63_Developed",NA,NA,NA,NA,NA,NA,NA,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Developed",70626,6147698,1367214,NA,15707,1
"14920_41_50_51_52_63_Developed",NA,NA,NA,NA,NA,NA,NA,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Developed",22954,100251,22295,NA,5105,23
"14940_41_50_51_Developed",NA,NA,NA,NA,NA,NA,NA,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Developed",385,16971,3774,NA,86,2
