"join_field","model_code","ref_label","ref_percent","scls_label","state_class_id","age_category","canopy_category","bps_model","bps_name","label","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13110_50_C","13110_50","C",36,"C","Mid2:OPN","Mid2","OPN",NA,NA,NA,NA,0,0,0,NA,NA
"13110_50_D","13110_50","D",29,"D","Late1:CLS","Late1","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"13110_50_E","13110_50","E",5,"E","Late2:CLS","Late2","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"13110_50_Agriculture","13110_50","Agriculture",0,NA,NA,NA,NA,"13110_50","North-Central Interior Dry Oak Forest and Woodland","Agriculture",5,23,5,0,1,22
"13110_50_Urban","13110_50","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13110_50_Water","13110_50","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13110_50_UN","13110_50","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13110_50_UE","13110_50","UE",0,NA,NA,NA,NA,"13110_50","North-Central Interior Dry Oak Forest and Woodland","UE",10,23,5,0,2,43
"13441_51_A","13441_51","A",35,"A","Early1:ALL","Early1","ALL","13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","A",3225,980565,218072,76325,717,0
"13441_51_B","13441_51","B",15,"B","Mid1:OPN","Mid1","OPN","13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","B",3793,980565,218072,32711,844,0
"13441_51_C","13441_51","C",31,"C","Mid2:OPN","Mid2","OPN","13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","C",187231,980565,218072,67602,41639,19
"13441_51_D","13441_51","D",19,"D","Late1:CLS","Late1","CLS","13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","D",520932,980565,218072,41434,115852,53
"13441_51_E","13441_51","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"13441_51_Agriculture","13441_51","Agriculture",0,NA,NA,NA,NA,"13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","Agriculture",8122,980565,218072,0,1806,1
"13441_51_Urban","13441_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13441_51_Water","13441_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13441_51_UN","13441_51","UN",0,NA,NA,NA,NA,"13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","UN",19655,980565,218072,0,4371,2
"13441_51_UE","13441_51","UE",0,NA,NA,NA,NA,"13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","UE",114927,980565,218072,0,25559,12
"13442_51_A","13442_51","A",31,"A","Early1:ALL","Early1","ALL","13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","A",29,109876,24436,7575,6,0
"13442_51_B","13442_51","B",34,"B","Mid1:CLS","Mid1","CLS","13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","B",3876,109876,24436,8308,862,4
"13442_51_C","13442_51","C",25,"C","Mid2:CLS","Mid2","CLS","13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","C",38696,109876,24436,6109,8606,35
