join_field,ref_percent,scls_label,state_class_id,age_category,canopy_category,cur_percent
14120_39_40_41_42_43_50_51_B,16,B,Mid1:ALL,Mid1,ALL,NA
14120_39_40_41_42_43_50_51_C,4,C,Mid2:ALL,Mid2,ALL,NA
14120_39_40_41_42_43_50_51_D,NA,NA,NA,NA,NA,NA
14120_39_40_41_42_43_50_51_E,NA,NA,NA,NA,NA,NA
14120_39_40_41_42_43_50_51_Agriculture,0,NA,NA,NA,NA,NA
14120_39_40_41_42_43_50_51_Urban,0,NA,NA,NA,NA,NA
14120_39_40_41_42_43_50_51_Water,0,NA,NA,NA,NA,NA
14120_39_40_41_42_43_50_51_UN,0,NA,NA,NA,NA,66
14120_39_40_41_42_43_50_51_UE,0,NA,NA,NA,NA,1
14210_31_38_42_43_44_50_51_A,40,A,Early1:OPN,Early1,OPN,0
14210_31_38_42_43_44_50_51_B,58,B,Mid1:OPN,Mid1,OPN,NA
14210_31_38_42_43_44_50_51_C,2,C,Late1:ALL,Late1,ALL,NA
14210_31_38_42_43_44_50_51_D,NA,NA,NA,NA,NA,NA
14210_31_38_42_43_44_50_51_E,NA,NA,NA,NA,NA,NA
14210_31_38_42_43_44_50_51_Agriculture,0,NA,NA,NA,NA,1
14210_31_38_42_43_44_50_51_Urban,0,NA,NA,NA,NA,NA
14210_31_38_42_43_44_50_51_Water,0,NA,NA,NA,NA,NA
14210_31_38_42_43_44_50_51_UN,0,NA,NA,NA,NA,80
14210_31_38_42_43_44_50_51_UE,0,NA,NA,NA,NA,0
14440_41_50_51_A,15,A,Early1:ALL,Early1,ALL,0
14440_41_50_51_B,35,B,Mid1:OPN,Mid1,OPN,0
14440_41_50_51_C,37,C,Mid1:CLS,Mid1,CLS,62
14440_41_50_51_D,13,D,Late1:CLS,Late1,CLS,0
14440_41_50_51_E,NA,NA,NA,NA,NA,NA
14440_41_50_51_Agriculture,0,NA,NA,NA,NA,2
14440_41_50_51_Urban,0,NA,NA,NA,NA,NA
14440_41_50_51_Water,0,NA,NA,NA,NA,NA
14440_41_50_51_UN,0,NA,NA,NA,NA,33
14440_41_50_51_UE,0,NA,NA,NA,NA,1
14660_50_51_A,23,A,Early1:OPN,Early1,OPN,1
14660_50_51_B,23,B,Early2:OPN,Early2,OPN,0
14660_50_51_C,27,C,Late1:CLS,Late1,CLS,93
14660_50_51_D,27,D,Late2:CLS,Late2,CLS,1
14660_50_51_E,NA,NA,NA,NA,NA,NA
14660_50_51_Agriculture,0,NA,NA,NA,NA,0
14660_50_51_Urban,0,NA,NA,NA,NA,NA
14660_50_51_Water,0,NA,NA,NA,NA,NA
14660_50_51_UN,0,NA,NA,NA,NA,NA
14660_50_51_UE,0,NA,NA,NA,NA,0
14750_41_50_51_63_64_65_66_A,16,A,Early1:ALL,Early1,ALL,0
14750_41_50_51_63_64_65_66_B,23,B,Mid1:OPN,Mid1,OPN,1
14750_41_50_51_63_64_65_66_C,44,C,Mid1:CLS,Mid1,CLS,48
14750_41_50_51_63_64_65_66_D,17,D,Late1:CLS,Late1,CLS,NA
14750_41_50_51_63_64_65_66_E,NA,NA,NA,NA,NA,NA
14750_41_50_51_63_64_65_66_Agriculture,0,NA,NA,NA,NA,1
14750_41_50_51_63_64_65_66_Urban,0,NA,NA,NA,NA,NA
14750_41_50_51_63_64_65_66_Water,0,NA,NA,NA,NA,NA
14750_41_50_51_63_64_65_66_UN,0,NA,NA,NA,NA,45
14750_41_50_51_63_64_65_66_UE,0,NA,NA,NA,NA,2
14770_40_41_50_51_A,14,A,Early1:ALL,Early1,ALL,3
14770_40_41_50_51_B,16,B,Mid1:OPN,Mid1,OPN,4
14770_40_41_50_51_C,38,C,Late1:CLS,Late1,CLS,25
14770_40_41_50_51_D,23,D,Late2:ALL,Late2,ALL,64
14770_40_41_50_51_E,9,E,Late3:OPN,Late3,OPN,0
14770_40_41_50_51_Agriculture,0,NA,NA,NA,NA,0
14770_40_41_50_51_Urban,0,NA,NA,NA,NA,NA
14770_40_41_50_51_Water,0,NA,NA,NA,NA,NA
14770_40_41_50_51_UN,0,NA,NA,NA,NA,2
14770_40_41_50_51_UE,0,NA,NA,NA,NA,1
14810_41_50_51_63_A,14,A,Early1:ALL,Early1,ALL,4
14810_41_50_51_63_B,11,B,Early2:CLS,Early2,CLS,4
14810_41_50_51_63_C,21,C,Mid1:CLS,Mid1,CLS,18
14810_41_50_51_63_D,54,D,Late1:CLS,Late1,CLS,71
14810_41_50_51_63_E,NA,NA,NA,NA,NA,NA
14810_41_50_51_63_Agriculture,0,NA,NA,NA,NA,1
14810_41_50_51_63_Urban,0,NA,NA,NA,NA,NA
14810_41_50_51_63_Water,0,NA,NA,NA,NA,NA
14810_41_50_51_63_UN,0,NA,NA,NA,NA,NA
14810_41_50_51_63_UE,0,NA,NA,NA,NA,1
14920_41_50_51_52_63_A,22,A,Early1:ALL,Early1,ALL,0
14920_41_50_51_52_63_B,22,B,Early2:ALL,Early2,ALL,2
14920_41_50_51_52_63_C,56,C,Mid1:CLS,Mid1,CLS,0
14920_41_50_51_52_63_D,NA,NA,NA,NA,NA,NA
14920_41_50_51_52_63_E,NA,NA,NA,NA,NA,NA
14920_41_50_51_52_63_Agriculture,0,NA,NA,NA,NA,1
14920_41_50_51_52_63_Urban,0,NA,NA,NA,NA,NA
14920_41_50_51_52_63_Water,0,NA,NA,NA,NA,NA
14920_41_50_51_52_63_UN,0,NA,NA,NA,NA,53
14920_41_50_51_52_63_UE,0,NA,NA,NA,NA,21
14940_41_50_51_A,8,A,Early1:OPN,Early1,OPN,0
14940_41_50_51_B,56,B,Late1:OPN,Late1,OPN,1
