OID_,Value,Count,LC16_BPS_200_cup,LC20_SCla_220,BPS_MODEL,BPS_NAME,GROUPVEG,LABEL
52,52,130.000000000000000,1615,1,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,A
53,53,495101.000000000000000,1624,4,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,D
54,54,229.000000000000000,1640,3,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,C
55,55,1527.000000000000000,1640,2,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,B
56,56,8010.000000000000000,1640,6,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,UN
57,57,1120.000000000000000,1633,7,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,UE
58,58,6750.000000000000000,31,132,NA,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,Barren or Sparse
59,59,440.000000000000000,1633,4,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,D
60,60,1263.000000000000000,1636,120,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Developed
61,61,30969.000000000000000,1636,6,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,UN
62,62,3895.000000000000000,1621,2,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,B
63,63,2594.000000000000000,1637,5,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,E
64,64,62231.000000000000000,1624,120,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Developed
65,65,127605.000000000000000,1623,180,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Agriculture
66,66,1003715.000000000000000,1614,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
67,67,2154461.000000000000000,1614,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
68,68,933.000000000000000,1621,180,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,Agriculture
69,69,2766.000000000000000,1633,180,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Agriculture
70,70,597605.000000000000000,1614,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
71,71,423436.000000000000000,1622,2,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,B
72,72,91002.000000000000000,1622,120,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Developed
73,73,61417.000000000000000,1622,7,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,UE
74,74,86921.000000000000000,1616,5,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,E
75,75,58228.000000000000000,1616,3,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,C
76,76,20271.000000000000000,1616,6,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,UN
77,77,8623.000000000000000,1616,120,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,Developed
78,78,889.000000000000000,1636,2,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,B
79,79,302608.000000000000000,1614,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
80,80,3688.000000000000000,1616,2,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,B
81,81,447369.000000000000000,1614,180,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Agriculture
82,82,1961.000000000000000,1633,120,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Developed
83,83,405.000000000000000,1641,4,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,D
84,84,132086.000000000000000,1614,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
85,85,5376.000000000000000,1616,7,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,UE
86,86,12442.000000000000000,1616,180,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,Agriculture
87,87,4206.000000000000000,1624,1,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,A
88,88,77251.000000000000000,1622,3,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,C
89,89,40705.000000000000000,1622,180,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Agriculture
90,90,1016.000000000000000,1636,7,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,UE
91,91,48622.000000000000000,1614,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
92,92,25798.000000000000000,1624,7,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,UE
93,93,86109.000000000000000,1629,3,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,C
94,94,1173.000000000000000,1629,180,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Agriculture
95,95,11976.000000000000000,1629,120,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Developed
96,96,11210.000000000000000,1629,7,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,UE
97,97,12369.000000000000000,1624,3,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,C
98,98,681.000000000000000,1633,2,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,B
99,99,272.000000000000000,1629,2,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,B
100,100,391.000000000000000,1629,1,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,A
101,101,60106.000000000000000,1624,180,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,Agriculture
102,102,201.000000000000000,1614,1,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,A
103,103,54803.000000000000000,1628,5,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,E
104,104,78443.000000000000000,1628,4,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,D
105,105,16245.000000000000000,1628,7,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,UE
106,106,76.000000000000000,1623,2,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,B
107,107,7.000000000000000,1629,4,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,D
108,108,4520.000000000000000,1622,1,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,A
109,109,2145.000000000000000,1628,180,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Agriculture
110,110,29.000000000000000,1621,1,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,A
111,111,9654.000000000000000,1628,3,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,C
112,112,20440.000000000000000,1640,7,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,UE
113,113,115.000000000000000,1641,7,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,UE
114,114,390.000000000000000,1640,180,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Agriculture
115,115,128.000000000000000,1633,1,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,A
116,116,910.000000000000000,1641,6,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,UN
117,117,46.000000000000000,1624,2,13652_51,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,B
118,118,16.000000000000000,1641,2,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,B
119,119,20428.000000000000000,1628,120,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Developed
120,120,1811.000000000000000,1628,6,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,UN
121,121,108.000000000000000,1628,1,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,A
122,122,31.000000000000000,1641,120,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Developed
123,123,8.000000000000000,1628,2,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,B
124,124,506.000000000000000,1636,180,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Agriculture
125,125,10.000000000000000,1641,180,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Agriculture
126,126,45.000000000000000,1634,3,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,C
127,127,4.000000000000000,1616,1,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,A
128,128,43032.000000000000000,1581,4,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,D
129,129,222828.000000000000000,2726,2,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,B
130,130,72068.000000000000000,2726,4,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,D
131,131,35492.000000000000000,1561,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
132,132,15098.000000000000000,1561,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
133,133,46517.000000000000000,2726,120,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,Developed
134,134,115361.000000000000000,1583,4,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D
135,135,10260.000000000000000,1561,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
136,136,26108.000000000000000,1583,3,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C
137,137,21608.000000000000000,2726,6,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,UN
138,138,6802.000000000000000,1568,4,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,D
139,139,10771.000000000000000,1581,3,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,C
140,140,485.000000000000000,1581,2,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,B
141,141,6128.000000000000000,1561,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
142,142,23711.000000000000000,2726,7,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,UE
143,143,5081.000000000000000,2726,5,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,E
144,144,1642.000000000000000,1581,120,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Developed
145,145,431.000000000000000,1561,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
146,146,30582.000000000000000,2726,180,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,Agriculture
147,147,69859.000000000000000,1573,3,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,C
148,148,40806.000000000000000,1569,4,13660_50,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,D
149,149,33817.000000000000000,1562,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
150,150,17279.000000000000000,1562,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
151,151,6647.000000000000000,1561,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
152,152,6942.000000000000000,1573,7,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,UE
153,153,1512.000000000000000,1581,7,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,UE
154,154,6778.000000000000000,1573,180,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Agriculture
155,155,3.000000000000000,1581,5,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,E
156,156,1747.000000000000000,1583,2,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
157,157,148.000000000000000,1581,1,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,A
158,158,3172.000000000000000,1562,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
159,159,1876.000000000000000,1581,180,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Agriculture
