OID_,Value,Count,LC16_BPS_200_cup,LC20_SCla_220,BPS_MODEL,BPS_NAME,GROUPVEG,LABEL
225,225,2.000000000000000,1576,180,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,Agriculture
226,226,4.000000000000000,1640,1,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,A
227,227,1.000000000000000,1576,7,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,UE
228,228,10.000000000000000,1564,7,13110_50,North-Central Interior Dry Oak Forest and Woodland,Hardwood,UE
229,229,5.000000000000000,1564,180,13110_50,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Agriculture
230,230,8.000000000000000,1564,120,13110_50,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Developed
231,231,12.000000000000000,1586,1,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,A
232,232,195.000000000000000,1586,180,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Agriculture
233,233,3.000000000000000,1573,4,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,D
234,234,1.000000000000000,1562,1,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,A
235,235,22.000000000000000,1563,1,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,A
236,236,11.000000000000000,1578,2,14660_50_51,Great Lakes Wooded Dune and Swale,Riparian,B
237,237,1.000000000000000,1576,1,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,A
